#ID B V RA DEC
532     20.570  19.260 00:25:47.23 +85:23:58.70
537     18.696  17.755 00:27:11.93 +85:05:15.70
538     17.317  16.657 00:25:43.20 +85:25:24.80
541     21.508  20.061 00:27:25.28 +85:02:16.90
542     22.161  20.637 00:26:43.81 +85:12:14.50
543     18.366  17.240 00:26:02.00 +85:21:37.90
546     20.927  19.636 00:27:40.49 +84:58:43.30
547     21.655  20.969 00:26:15.47 +85:18:51.70
550     18.579  17.606 00:25:23.71 +85:29:55.00
552     21.706  20.184 00:26:16.18 +85:18:54.00
553     21.895  20.321 00:26:47.23 +85:11:51.90
559     18.570  17.896 00:26:35.08 +85:14:53.80
561     20.499  19.934 00:25:10.92 +85:32:53.50
562     21.168  19.614 00:27:30.22 +85:01:51.20
563     99.999  21.024 00:27:10.58 +85:06:40.80
565     17.266  16.250 00:26:24.85 +85:17:20.50
566     21.343  20.722 00:26:06.37 +85:21:26.00
570     16.604  15.869 00:27:04.67 +85:08:14.30
571     18.816  17.974 00:26:58.85 +85:09:39.20
573     22.147  20.434 00:26:02.61 +85:22:28.80
575     21.711  20.111 00:25:28.37 +85:29:55.80
576     19.667  18.370 00:25:04.79 +85:34:50.70
577     20.840  20.174 00:25:41.56 +85:27:23.30
578     21.559  20.850 00:26:42.56 +85:14:04.50
580     21.029  20.452 00:25:11.11 +85:33:42.50
581     20.940  19.837 00:25:33.28 +85:29:14.10
583     16.816  15.966 00:27:03.25 +85:09:26.90
587     20.160  18.535 00:27:19.13 +85:05:46.10
591     20.271  19.217 00:27:18.94 +85:06:00.30
592     21.158  19.900 00:26:13.42 +85:21:07.90
597     21.345  19.959 00:26:10.54 +85:22:04.80
598     20.818  19.930 00:26:49.55 +85:13:25.50
601     16.800  16.161 00:27:29.88 +85:03:56.30
603     21.340  20.553 00:27:29.14 +85:04:22.50
605     18.623  17.260 00:27:39.37 +85:01:57.70
606     20.782  20.255 00:27:03.85 +85:10:38.60
609     20.962  19.342 00:26:15.19 +85:21:47.10
610     18.898  17.806 00:26:45.24 +85:15:03.50
611     20.226  19.673 00:27:45.13 +85:00:40.00
612     15.133  14.436 00:27:23.25 +85:06:06.80
613     20.882  19.525 00:26:27.23 +85:19:11.00
